product_id,product_name,product_category,discounted_price,rating,age,gender,Purchase_Frequency,Browsing_Frequency,Cart_Completion_Frequency
B0073QGKAS,Bajaj ATX 4 750-Watt Pop-up Toaster (White),home&kitchen,1499,4.3,34,Female,Once a week,Few times a week,Sometimes
B0085W2MUQ,Orpat HHB-100E 250-Watt Hand Blender (White),home&kitchen,765,4.2,34,Female,Once a week,Few times a week,Sometimes
B008LN8KDM,Philips GC1920/28 1440-Watt Non-Stick Soleplate Steam Iron,home&kitchen,1849,4.3,34,Female,Once a week,Few times a week,Sometimes
B008P7IF02,Morphy Richards New Europa 800-Watt Espresso and Cappuccino 4-Cup Coffee Maker (Black),home&kitchen,4799,3.9,34,Female,Once a week,Few times a week,Sometimes
B008QTK47Q,Philips GC1905 1440-Watt Steam Iron with Spray (Blue),home&kitchen,1614,4.3,34,Female,Once a week,Few times a week,Sometimes
B008YW3CYM,USHA EI 1602 1000 W Lightweight Dry Iron with Non-Stick Soleplate (Multi-colour),home&kitchen,616,4.1,34,Female,Once a week,Few times a week,Sometimes
B008YW8M0G,"Bajaj DX-7 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White",home&kitchen,775,4.2,34,Female,Once a week,Few times a week,Sometimes
B00935MD1C,"Prestige PRWO 1.8-2 700-Watts Delight Electric Rice Cooker with 2 Aluminium Cooking Pans - 1.8 Liters, White",home&kitchen,2719,3.7,34,Female,Once a week,Few times a week,Sometimes
B00935MGHS,"Prestige PSMFB 800 Watt Sandwich Toaster with Fixed Plates, Black",home&kitchen,1199,4.2,34,Female,Once a week,Few times a week,Sometimes
B009DA69W6,KENT Gold Optima Gravity Water Purifier (11016) | UF Technology Based | Non-Electric & Chemical Free | Counter Top | 10L Storage | White,home&kitchen,1699,3.6,34,Female,Once a week,Few times a week,Sometimes
B009P2L7CO,"Bajaj DHX-9 1000W Heavy Weight Dry Iron with Advance Soleplate and Anti-Bacterial German Coating Technology, Ivory",home&kitchen,1099,4.2,34,Female,Once a week,Few times a week,Sometimes
B009P2LIL4,"Bajaj Majesty RX10 2000 Watts Heat Convector Room Heater (White, ISI Approved)",home&kitchen,2219,3.6,34,Female,Once a week,Few times a week,Sometimes
B009P2LITG,"Bajaj Majesty RX11 2000 Watts Heat Convector Room Heater (White, ISI Approved)",home&kitchen,2169,4.1,34,Female,Once a week,Few times a week,Sometimes
B009P2LK08,"Bajaj Minor 1000 Watts Radiant Room Heater (Steel, ISI Approved)",home&kitchen,749,4,34,Female,Once a week,Few times a week,Sometimes
B009P2LK80,"Bajaj Deluxe 2000 Watts Halogen Room Heater (Steel, ISI Approved), Multicolor",home&kitchen,1409,3.7,34,Female,Once a week,Few times a week,Sometimes
B009UORDX4,"Philips Hi113 1000-Watt Plastic Body Ptfe Coating Dry Iron, Pack of 1",home&kitchen,949,4.3,34,Female,Once a week,Few times a week,Sometimes
B00A328ENA,"Panasonic SR-WA22H (E) Automatic Rice Cooker, Apple Green, 2.2 Liters",home&kitchen,2976,4.2,34,Female,Once a week,Few times a week,Sometimes
B00A7PLVU6,Orpat HHB-100E WOB 250-Watt Hand Blender (White),home&kitchen,753,4.2,34,Female,Once a week,Few times a week,Sometimes
B00ABMASXG,"Bajaj Immersion Rod Water Heater 1500 Watts, Silver",home&kitchen,539,4.1,34,Female,Once a week,Few times a week,Sometimes
B00B3VFJY2,"HUL Pureit Germkill kit for Advanced 23 L water purifier - 3000 L Capacity, Sand, Multicolour",home&kitchen,980,4.2,34,Female,Once a week,Few times a week,Sometimes
B00B7GKXMG,Wipro Smartlife Super Deluxe Dry Iron- 1000W,home&kitchen,699,4.1,34,Female,Once a week,Few times a week,Sometimes
B00E9G8KOY,HUL Pureit Germkill kit for Classic 23 L water purifier - 1500 L Capacity,home&kitchen,600,4.1,34,Female,Once a week,Few times a week,Sometimes
B00EDJJ7FS,Philips Viva Collection HD4928/01 2100-Watt Induction Cooktop with Feather Touch Sensor and Crystal Glass Plate (Black),home&kitchen,3229,4.2,34,Female,Once a week,Few times a week,Sometimes
B00F159RIK,"Bajaj DX-2 600W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, Black",home&kitchen,499,4.2,34,Female,Once a week,Few times a week,Sometimes
